path,type,role,status,notes
minibook_v2/source/_toc.yml,yml,table of contents,canonical,Build order for v2 manuscript
minibook_v2/source/_config.yml,yml,book config,canonical,Imported from original book source
minibook_v2/source/intro.md,md,front matter and course overview,canonical,Contains syllabus and assessment architecture summary
minibook_v2/source/chapters/neurons_as_signaling_cells.md,md,chapter,canonical,Week A chapter source
minibook_v2/source/chapters/ions_gradients_resting_voltage.md,md,chapter,canonical,Week B chapter source
minibook_v2/source/chapters/synapses_and_summation.md,md,chapter,canonical,Week C chapter source
minibook_v2/source/chapters/action_potentials_and_propagation.md,md,chapter,canonical,Week D chapter source
minibook_v2/source/chapters/spike_trains_rate_and_variability.md,md,chapter,canonical,Week E chapter source
minibook_v2/source/chapters/circuits_and_hh_intuition.md,md,chapter,canonical,Week F chapter source
minibook_v2/source/chapters/single_channel_noise.md,md,chapter,canonical,Week G chapter source
minibook_v2/source/chapters/capstone_project.md,md,chapter,canonical,Week H chapter and final project source
minibook_v2/source/glossary/math_tools_for_membrane_voltage.md,md,front appendix,canonical,No-calculus math support
minibook_v2/source/glossary/notation_and_units.md,md,back appendix,canonical,Notation and units reference
minibook_v2/source/glossary/glossary.md,md,glossary,canonical,Cumulative vocabulary list
minibook_v2/source/glossary/resource_catalog.md,md,references,canonical,Resource catalog and reading list
minibook_v2/source/code/tiny_code_snippets.md,md,code appendix,canonical,Small Python examples
minibook_v2/source/code/chapter01_neurons_as_signaling_cells.ipynb,ipynb,notebook,canonical,Week A guided code
minibook_v2/source/code/chapter02_ions_gradients_resting_voltage.ipynb,ipynb,notebook,canonical,Week B guided code
minibook_v2/source/code/chapter03_synapses_and_summation.ipynb,ipynb,notebook,canonical,Week C guided code
minibook_v2/source/code/chapter04_action_potentials_and_propagation.ipynb,ipynb,notebook,canonical,Week D guided code
minibook_v2/source/code/chapter05_spike_trains_rate_and_variability.ipynb,ipynb,notebook,canonical,Week E guided code
minibook_v2/source/code/chapter06_circuits_and_hh_intuition.ipynb,ipynb,notebook,canonical,Week F guided code
minibook_v2/source/code/chapter07_single_channel_noise.ipynb,ipynb,notebook,canonical,Week G guided code
minibook_v2/source/code/chapter08_capstone_project.ipynb,ipynb,notebook,canonical,Week H guided code
minibook_v2/source/code/week2_nernst_explorer.ipynb,ipynb,notebook,active support,Nernst explorer seed notebook
minibook_v2/source/code/week6_hh_intuition.ipynb,ipynb,notebook,active support,HH intuition seed notebook
minibook_v2/source/code/week7_noise_and_cv.ipynb,ipynb,notebook,active support,Noise and CV seed notebook
minibook_v2/source/code/week8_capstone.ipynb,ipynb,notebook,active support,Capstone seed notebook
minibook_v2/source/figures/figure_specs.json,json,figure specs,canonical,Original figure specification set
minibook_v2/source/figures/enrichment_figure_specs.json,json,figure specs,canonical,Expanded figure specification set
