term,slug,chapter_first_introduced,plain_language_definition,formal_definition,common_confusion,link_instructions
"action potential","action-potential","Chapter 4","A fast voltage spike that can travel along an axon.","A regenerative, all-or-none change in membrane potential caused mainly by voltage-gated ion channel dynamics.","Not every voltage bump is an action potential.","Link first use in ch04 Opening Question and again in ch05 recap."
"after-hyperpolarization","after-hyperpolarization","Chapter 4","The brief dip when voltage becomes more negative than rest after a spike.","A post-spike membrane potential undershoot often caused by continued K+ conductance.","It is part of recovery, not a separate message by itself.","Link first use in ch04 Opening Question or Visual First."
"all-or-none","all-or-none","Chapter 4","Once threshold is crossed, the spike usually has a standard size and shape.","A response property in which a sufficient trigger produces a full action potential rather than a partly scaled spike.","Stronger input usually makes more spikes, not taller spikes.","Link first use in ch04 Why This Matters."
"axon","axon","Chapter 1","The output branch that carries spikes away from the cell body.","A neuronal process specialized for action-potential initiation or propagation toward synaptic terminals.","It is not just a long dendrite; its channel placement and role differ.","Link first use in ch01 Opening Question paragraph."
"axon hillock","axon-hillock","Chapter 1","The region near the start of the axon where spikes often begin.","A transition region between soma and axon that contributes to spike initiation, often discussed with the initial segment.","It is not a decision-making brain by itself; it is a trigger zone with special membrane properties.","Link first use in ch01 Opening Question paragraph."
"axon terminal","axon-terminal","Chapter 1","The end region of an axon that communicates with another cell.","A presynaptic specialization where an axon forms synaptic contacts and often releases neurotransmitter.","A terminal is not the same as a dendrite, even though both can branch.","Link first use in ch01 Opening Question paragraph."
"biological evidence","biological-evidence","Chapter 8","Evidence measured from real living tissue or cells.","Empirical data from biological observations, recordings, images, or experiments.","A model output can support a mechanism, but it is not the same as biological evidence.","Link first use in ch08 Why This Matters."
"C_m","c_m","Chapter 6","A symbol for membrane capacitance.","The capacitance of the cell membrane, representing its ability to store separated charge.","It is not a channel; it represents charge storage across the membrane.","Link first use in ch06 Visual First."
"Ca2+","ca2","Chapter 2","A calcium ion with two positive charges.","A divalent cation important in signaling, transmitter release, and many cellular processes.","Ca2+ is not just stronger sodium; its two charges and biology make it special.","Link first use in ch02 Why This Matters."
"capacitance","capacitance","Chapter 6","The ability to store separated charge.","Charge stored per voltage difference, used in membrane models to represent charge separation across the membrane.","Capacitance stores charge separation; it is not the same as current flow through a channel.","Link first use in ch06 Visual First."
"capacitor","capacitor","Chapter 6","A circuit part that stores separated charge.","An electrical component with two conducting surfaces separated by an insulator, used as an analogy for the membrane.","The membrane is not literally a metal capacitor, but the analogy helps explain charge storage.","Link first use in ch06 Opening Question."
"charge","charge","Chapter 1","The positive or negative property that makes particles attract or repel.","A physical property of matter that creates electric forces and is measured in coulombs in formal physics.","Charge is not the same as voltage; voltage compares electrical potential between locations.","Link first use in ch01 What You Already Need to Know."
"channel noise","channel-noise","Chapter 7","Variability caused by random opening and closing of ion channels.","Fluctuations in membrane current or voltage arising from stochastic ion-channel gating.","Noise does not mean there is no mechanism.","Link first use in ch07 Why This Matters."
"circuit model","circuit-model","Chapter 6","A drawing or equation system that treats membrane parts like circuit parts.","A simplified representation of membrane capacitance, conductance pathways, currents, and reversal potentials.","It is an analogy and model, not literal anatomy.","Link first use in ch06 title paragraph or Why This Matters."
"claim","claim","Chapter 8","A clear statement you are trying to support.","A scientific assertion that can be evaluated using evidence and reasoning.","A claim is not just a topic; it must say something specific.","Link first use in ch08 Opening Question paragraph."
"claim-evidence-reasoning","claim-evidence-reasoning","Chapter 8","A way to explain science by saying what you think, what supports it, and why it makes sense.","A structured explanation format connecting a claim to evidence through causal or mechanistic reasoning.","Evidence alone is not reasoning; reasoning explains the connection.","Link first use in ch08 Visual First or Worked Example."
"Cl-","cl","Chapter 2","A chloride ion with one negative charge.","A monovalent anion that can influence inhibition and membrane potential depending on its distribution.","Negative ions do not always simply make the cell negative; direction depends on gradients and permeability.","Link first use in ch02 Why This Matters."
