version,week,current_source_sections,revised_title,prerequisites,learning_objectives,estimated_lesson_times,required_figures,required_exercises,required_quiz,required_lab_code_block,required_sequence
8-week,1,"source/chapters/neurons_as_signaling_cells.md; source/code/chapter01_neurons_as_signaling_cells.ipynb","Neuron Shape, Signal Direction, and the Input-Decision-Output Map","Basic cell parts; atoms; charge; membranes","Label dendrites, soma, axon hillock, axon, terminals; explain input-decision-output; distinguish charge, voltage, signal","visual 20; concept 45; graph/diagram 25; worked example 20; calculation 20; mini-lab 30; quiz 15; homework 60","fig_01_real_neuron_gallery.svg; fig_02_neuron_map.svg; morphology_comparison_page.svg; week_roadmap.svg","label real neuron; redraw neuron map; explain signal direction; calculate simple mV changes","source/quizzes/chapter01.json","source/code/chapter01_neurons_as_signaling_cells.ipynb; optional toy_pyramidal_morphology.swc","visual -> concept -> graph -> worked example -> basic calculation -> mini-lab -> retrieval quiz"
8-week,2,"source/chapters/ions_gradients_resting_voltage.md; source/glossary/math_tools_for_membrane_voltage.md; source/code/week2_nernst_explorer.ipynb","Ions, Selective Permeability, and Why Rest Is Negative","Week 1; charge signs; ratios; scientific notation; log10","Define ion, gradient, selective permeability, resting potential, equilibrium potential; explain K+ at rest; compute simple Nernst value","visual 20; concept 50; graph 30; worked example 25; calculation 25; mini-lab 35; quiz 15; homework 75","fig_03_ion_gradients_barplot.svg; fig_04_electrochemical_push.svg; fig_05_membrane_potential_measurement.svg; nernst_sign_plot.svg; resting_membrane_cartoon.svg","sort ion distributions; predict diffusion; explain electrical pull; calculate Nernst example","source/quizzes/chapter02.json","source/code/chapter02_ions_gradients_resting_voltage.ipynb; source/code/week2_nernst_explorer.ipynb","visual -> concept -> graph -> worked example -> basic calculation -> mini-lab -> retrieval quiz"
8-week,3,"source/chapters/synapses_and_summation.md; source/code/chapter03_synapses_and_summation.ipynb","Synapses, EPSPs, IPSPs, and How Small Inputs Add Up","Weeks 1-2; membrane voltage; resting voltage; threshold","Explain chemical synapses; distinguish EPSP and IPSP; compare temporal and spatial summation; predict threshold approach","visual 20; concept 45; graph 30; worked example 20; calculation 20; mini-lab 35; quiz 15; homework 60","fig_06_synapse_and_psps.svg; fig_07_summation_graph.svg; synapse_summation_diagram.svg; threshold_feedback.svg","annotate synapse; identify EPSP/IPSP traces; add voltage changes; write threshold prediction","source/quizzes/chapter03.json","source/code/chapter03_synapses_and_summation.ipynb; tactile token summation activity","visual -> concept -> graph -> worked example -> basic calculation -> mini-lab -> retrieval quiz"
8-week,4,"source/chapters/action_potentials_and_propagation.md; source/animations/anim_01_action_potential_storyboard.md; source/code/chapter04_action_potentials_and_propagation.ipynb","Action Potentials, Refractory Periods, Myelin, and Propagation","Weeks 1-3; threshold; Na+/K+ gradients; EPSP/IPSP; graph axes","Narrate AP phases; explain all-or-none spike shape; compare myelinated and unmyelinated propagation","visual 20; concept 50; graph 30; worked example 25; calculation 20; mini-lab 35; quiz 15; homework 70","fig_08_action_potential_phases.svg; action_potential_phase_plot.svg; ap_phase_strip.svg; myelin.svg; gating_timeline.svg","label AP graph; match channel states; identify threshold crossings; explain all-or-none spikes","source/quizzes/chapter04.json","source/code/chapter04_action_potentials_and_propagation.ipynb; source/animations/anim_01_action_potential_storyboard.md","visual -> concept -> graph -> worked example -> basic calculation -> mini-lab -> retrieval quiz"
8-week,5,"source/chapters/spike_trains_rate_and_variability.md; source/code/chapter05_spike_trains_rate_and_variability.ipynb; source/datasets/synthetic_spike_times.csv","Spike Trains, Firing Rate, ISI, and Timing as Information","Weeks 1-4; all-or-none APs; ms; Hz","Distinguish spike height from timing; interpret rasters; calculate firing rate and ISI; explain rate and timing codes","visual 20; concept 45; graph 35; worked example 20; calculation 25; mini-lab 35; quiz 15; homework 60","fig_09_spike_raster_and_rate.svg; spike_train_dashboard.svg; isi_measurement.svg; spike_code.svg","count raster spikes; calculate Hz; compute ISIs; compare trial timing","source/quizzes/chapter05.json","source/code/chapter05_spike_trains_rate_and_variability.ipynb; source/datasets/synthetic_spike_times.csv","visual -> concept -> graph -> worked example -> basic calculation -> mini-lab -> retrieval quiz"
8-week,6,"source/chapters/circuits_and_hh_intuition.md; source/code/chapter06_circuits_and_hh_intuition.ipynb; source/code/week6_hh_intuition.ipynb","Membranes as Circuits: Conductance, Reversal Potential, and Clamp Logic","Weeks 1-5; ions; equilibrium potential; AP phases; basic multiplication and subtraction","Read membrane-as-capacitor diagram; translate I = g(V_m - E); explain conductance and reversal potential; interpret clamp traces","visual 20; concept 50; graph 30; worked example 25; calculation 25; mini-lab 40; quiz 15; homework 75","fig_10_HH_circuit.svg; hh_equivalent_circuit.svg; clamp.svg; driving_force.svg; hh_simulation.svg","label C_m, g_Na, g_K, E; translate current statement; compare current direction; explain voltage clamp","source/quizzes/chapter06.json","source/code/chapter06_circuits_and_hh_intuition.ipynb; source/code/week6_hh_intuition.ipynb","visual -> concept -> graph -> worked example -> basic calculation -> mini-lab -> retrieval quiz"
8-week,7,"source/chapters/single_channel_noise.md; source/code/chapter07_single_channel_noise.ipynb; source/code/week7_noise_and_cv.ipynb","Single-Channel Randomness, Noise, Jitter, and CV","Weeks 1-6; spike trains; ISI; firing rate; conductance; model-output language","Explain stochastic channel opening; distinguish randomness from lack of mechanism; calculate open fraction and CV; connect noise to jitter","visual 20; concept 50; graph 35; worked example 25; calculation 25; mini-lab 40; quiz 15; homework 75","fig_11_patch_clamp_trace.svg; patch_clamp_single_channel_trace.svg; fig_12_noise_to_jitter_panel.svg; channel_noise_scaling.svg; random_trials.svg","read single-channel trace; compute open fraction; calculate mean ISI, SD, CV; distinguish model output from evidence","source/quizzes/chapter07.json","source/code/chapter07_single_channel_noise.ipynb; source/code/week7_noise_and_cv.ipynb","visual -> concept -> graph -> worked example -> basic calculation -> mini-lab -> retrieval quiz"
8-week,8,"source/chapters/capstone_project.md; source/rubrics/capstone_rubric.md; source/code/chapter08_capstone_project.ipynb; source/code/week8_capstone.ipynb","Building an Evidence-Based Explanation About Noisy Spike Timing","Weeks 1-7; core vocabulary; graph reading; spike metrics; model-versus-evidence distinction","Form a testable claim; choose evidence; calculate timing metric; explain limitation; present to peers","visual 15; concept 35; graph 30; worked example 25; calculation 25; mini-lab/project 75; quiz/rehearsal 20; revision 60","project_workflow.svg; project_dashboard.svg; fig_12_noise_to_jitter_panel.svg; student-generated figure","write CER paragraph; label graph; calculate rate, mean ISI, or CV; identify limitation and next experiment","source/quizzes/chapter08.json; source/rubrics/capstone_rubric.md","source/code/chapter08_capstone_project.ipynb; source/code/week8_capstone.ipynb","visual -> concept -> graph -> worked example -> basic calculation -> mini-lab -> retrieval quiz"
7-week,1,"source/chapters/neurons_as_signaling_cells.md","Neuron Shape and Signal Direction","Basic cell biology; atoms; charge; membrane vocabulary","Identify neuron parts; explain input-decision-output; distinguish charge, voltage, signal","visual 20; concept 40; graph/diagram 20; worked example 15; calculation 15; mini-lab 25; quiz 10; homework 45","fig_01_real_neuron_gallery.svg; fig_02_neuron_map.svg; morphology_comparison_page.svg","label; redraw; explain direction of flow; calculate mV change","selected core items from source/quizzes/chapter01.json","source/code/chapter01_neurons_as_signaling_cells.ipynb","visual -> concept -> graph -> worked example -> basic calculation -> mini-lab -> retrieval quiz"
7-week,2,"source/chapters/ions_gradients_resting_voltage.md; source/code/week2_nernst_explorer.ipynb","Ions and Why Rest Is Negative","Week 1; charge signs; ratios; log10 support","Explain ion gradients; distinguish diffusion from electrical force; compute and interpret one simple Nernst value","visual 20; concept 45; graph 25; worked example 20; calculation 20; mini-lab 30; quiz 10; homework 60","fig_03_ion_gradients_barplot.svg; fig_04_electrochemical_push.svg; fig_05_membrane_potential_measurement.svg; nernst_sign_plot.svg","predict ion movement; interpret sign; explain K+ leak; solve one Nernst problem","selected core items from source/quizzes/chapter02.json","source/code/week2_nernst_explorer.ipynb","visual -> concept -> graph -> worked example -> basic calculation -> mini-lab -> retrieval quiz"
